CPF,SENHA, NOME, TELEFONE, ENDERECO, DATA_CADASTRO
ADMIN,ADMIN,ADMIN,123,123,123
10987654321,123,Jon,49912345678,"Av qualquer coisa, 123"
12345678910,123,Duda,49987456321,"Rua do meu coração, 41"
98765432100,123,Katia,49999887766,"Rua das Flores, 120",2026-02-19
87654321099,123,Carol,49988776655,"Av Central, 45",2026-02-19
76543210988,123,Thais,49977665544,"Rua do Sol, 300",2026-02-19
65432109877,123,Gustavo,49966554433,"Rua das Palmeiras, 89",2026-02-19
54321098766,123,Suzana,49955443322,"Av Brasil, 1020",2026-02-19
43210987655,123,Manu,49944332211,"Rua Esperança, 78",2026-02-19
32109876544,123,Hildo,49933221100,"Av das Nações, 56",2026-02-19
21098765433,123,Elian,49922110099,"Rua Horizonte, 150",2026-02-19
10987654322,123,Julia,49911009988,"Av Independência, 321",2026-02-19
99887766554,123,Kauan,49990998877,"Rua Primavera, 42",2026-02-19
88776655443,123,Maria,49980887766,"Av Vitória, 654",2026-02-19
77665544332,123,Romulo,49970776655,"Rua das Acácias, 210",2026-02-19
66554433221,123,Grace,49960665544,"Av do Comércio, 87",2026-02-19
55443322110,123,Andriele,49950554433,"Rua Aurora, 19",2026-02-19
44332211009,123,Kassiano,49940443322,"Av das Araucárias, 512",2026-02-19
33221100998,123,Gattino,49930332211,"Rua Bela Vista, 73",2026-02-19
88512110122,123,Moow,49989465196,"Rua da Carqueja, 88", 2026-02-19
95175364585,123,Rogério,49987496748,"Rua do Mistério, 27",2026-02-20
